project_code;project_name;studio
13042;SEA BREEZE VERANDAS BAUILIDING D REDESIGN;STUDIO 1
13056;THE VERANDA (PHASE2 BUILDING A2 + B2);STUDIO 3
13058;BPI CEBU CORPORATE CENTER;STUDIO 3
13089;NORTHGATE ALABANG BPO;STUDIO 3
13113;ALVEO DESIGN STANDARDS AND GUIDELINES;STUDIO 3
13121;HSS VERVE RESIDENCES TOWER 2;STUDIO 3
14048;LEGASPI MIXED-USED DEVELOPMENT;STUDIO 2
14098;CENTRIS WALK EXTENSION - RETAIL STRIP;STUDIO 1
14099;WIDUS CLARK TOWER 3;STUDIO 1
14101;ETON CITY MASTERPLANNING;STUDIO 1
14112;THE BAY MALL;STUDIO 3
15005;HERMES BOUTIQUE GRRENBELT 3;STUDIO 2
15009;MAXIMS HOTEL LOCAL COUNTERPART ID;undefined
15019;WIDUS MIXED-USE DEVELOPMENT;STUDIO 1
15023;ETON CENTRIS MASTERPLANNING;STUDIO 1
15041;HMRID WAREHOUSE;STUDIO 3
15058;GRIND GASTROPUB RESTAURANT;STUDIO 2
15070;VERTIS NORTH PARCEL O SITE PLANNING;STUDIO 2
15086;CITI TOWER LEVEL 31 PILOT FITOUT;STUDIO 2
15094;SHERATON BACK OFFICE;STUDIO 2
15106;SUNTECH IPARK BPO BUILDING 2;STUDIO 3
15130;IMMACULATE CONCEPTION ACADEMY;STUDIO 1
15166;SUPERSTAR MASTERPLAN;STUDIO 1
15173;KIDZANIA BOH EXTENSION OFFICE;STUDIO 2
16025;CIVIL REGISTRY - IT PROJECT PHASE 2;STUDIO 6
16030;CITI PLAZA ADDTL ID SERVICES;STUDIO 2
16031;CITI PLAZA EGD;STUDIO 2
16105;ETON CITY STAND ALONE RETAILS;STUDIO 1
16137;GENSLER CITI PLAZA 16F;STUDIO 2
17022;ATLAS OFFICE ID ENHANCEMENT;STUDIO 2
17047;LA FILIPINA BGC-ID;STUDIO 3
17122;CGC MASTERPLAN;STUDIO 4
17126;AG NEW WORLD ANNEX BUILDING;STUDIO 1
17150;MANDANI BAY BOARDWALK;STUDIO 5
17153;GAMING CAFE OUTLET;STUDIO 4
18008;GUADANOVILLE MASTERPLANNING;undefined
18068;MAKINO OFFICE ID;STUDIO 2
18148;L'AVENIR CLARK;STUDIO 1
18165;NET PARK AURORA CODE REVIEW;STUDIO 2
18171;*LUISITA-BTS OFFICE TEST-FIT;STUDIO 1
18213;*ACCI RENOVATION PROJECT;STUDIO 2
18216;MANULIFE 6789 RENOVATION;STUDIO 2
18217;ROBINSONS LUISITA VILLAS TEST FIT;STUDIO 1
18229;DLI BPO BULACAN;STUDIO 3
18235;DINSMORE RENDERING;STUDIO 2
18262;*ULI LIBRARY ID;STUDIO 2
19001;ISOC CLARK SCALE MODEL;STUDIO 4
19040;UDENNA 10TH AND 11TH FLOOR DESIGN BUILD;STUDIO 2
19059;PROJECT GARNET - BIM;STUDIO 1
19087;PROJECT CORAL RENDERING;STUDIO 2
19111;*ROD HENSON RESIDENCE;STUDIO 2
19128;JUNCTION RENDERING;STUDIO 2
19163;ISOC BPO;STUDIO 4
19174;DLI CLARK DORMITEL;STUDIO 3
19186;PARKLINKS RENDERING;STUDIO 2
19226;THE JUNCTION PLACE RENDERING;STUDIO 2
19246;ISOC CLARK CASINO;undefined
19252;P&G NET PARK RENOVATION;STUDIO 2
19265;PROJECT HOLLOW;STUDIO 6
20004;PROJECT BARRIO;STUDIO 6
20006;NOVELLINO MP;STUDIO 6
20007;FERRARI SHOWROOM;STUDIO 4
20016;HABI BEACH RESORT;STUDIO 3
20018;Banyan Tree Manila -BP SET;STUDIO 1
20027;DGT- PREMIER OFFICE;STUDIO 1
20046;PHILEXCEL BPO COMPLEX PHASE 1;STUDIO 4
20049;DLI CLARK BPO PH1;STUDIO 3
20050;DLI CLARK HOTEL PH1;STUDIO 3
20051;NESTLE  ID RENDERING;STUDIO 2
20055;BACLARAN CHURCH MASTERPLAN;undefined
20057;AEON GRACE PROPERTY MIXED USE;STUDIO 6
20058;AEON CHINA TOWN  MIXED USE;STUDIO 6
20063;DATEM ETON BPO PHASES 1 & 2;STUDIO 5
20064;DATEM ETON RETAIL STRIP;STUDIO 5
20069;GARDEN TOWERS - TOWER 2 SUPPLEMENTARY SERVICES;undefined
1309502;ONE & TWO PASEO VARIATION ORDER NO. 02;STUDIO 4
1310203;DOWELL TOWER EXTENSION OF CONSTRUCTION VO.03;STUDIO 3
1405102;WEST END MAKATI VARIATION ORDER NO. 02;STUDIO 3
1504101;HMRID WAREHOUSE - JRDC;STUDIO 3
1506802;CALLISTO TOWER 1 VARIATION ORDER NO.2;STUDIO 4
1506803;CALLISTO TOWER 2  VARIATION ORDER NO.3;STUDIO 4
1506804;CALIISTO TOWER 1 VARIATION ORDER NO.4;STUDIO 4
1607302;MANDANI BAY QUAY VO NO.2;STUDIO 5
1607304;MANDANI BAY QUAY VO NO.4;STUDIO 5
1702901;DAVAO CENTRRALLE VO NO. 01;STUDIO 3
1704401;AUREO APARTELLE BUILDING VARIATION ORDER NO.01;STUDIO 3
1705602;UDENNA OFFICE INTERIORS VARIATION ORDER NO.02;STUDIO 2
1706801;MGI DISTRIBUTION CENTER VARIATION ORDER NO. 1;STUDIO 4
1712201;CGC MASTERPLAN REALIGNMENT;STUDIO 4
1712401;SLMC DAVAO VARIATION ORDER NO. 01;STUDIO 2
1712402;SLMC DAVAO VARIATION ORDER NO. 02;STUDIO 2
1712405;SLMC DAVAO VARIATION ORDER NO. 05;STUDIO 2
1712406;SLMC DAVAO VARIATION ORDER NO. 06;STUDIO 2
1712407;SLMC DAVAO VARIATION ORDER NO. 07;STUDIO 2
1713101;EMERALD VO No. 01;STUDIO 4
1720101;HABI BEACH RESORT VARIATION ORDER NO.01;STUDIO 3
1722302;PATIO SUITES TOWER 2 VARIATION ORDER 2;STUDIO 3
1800903;WEST AEROPARK PHASE 2 CONSTRUCTION SERVICES V.O NO.03;STUDIO 4
1800904;WAP 2ND EXTENSION OF CONSTRUCTION;STUDIO 4
1806902;GOOGLE VERTIS NORTH VARIATION ORDER NO.02;STUDIO 2
1813601;MANULIFE VARIATION ORDER;STUDIO 2
1813602;MANULIFE EGD;STUDIO 2
1912501;WHITE & CASE MANILA ATG - VARIATION ORDER NO.01;STUDIO 2
1922701;CLI ABACA HOTEL-VARIATION ORDER NO.01;STUDIO 3
1924201;MLA RESIDENTIAL SIERRA MADRE -VARIATION ORDER NO.01;STUDIO 2
15057G;SBV BLDG E - BIM;STUDIO 1
16010;EDI SUPPORT FACILITIES;STUDIO 1
17131H01;THE EMERALD HOTEL RESORT & CASINO-SITE ARCHITECT EXTENSION OF CONTRACT;STUDIO 4
17145;ABS-CBN Q.C. MASTERPLANNING;STUDIO 2
17185;ROBINSON'S LUISITA MP;STUDIO 1
17212;LEGAZPI MIXED USE INTERIM  PODIUM PARKING;STUDIO 2
18016J;UST GENSAN CAMPUS -PHASE1B;STUDIO 1
18051;CORON MASTERPLANNING;STUDIO 1
18152;CARMELTOWN MASTER PLAN;STUDIO 1
18163;CLARK MONACO PLAZA  MP (ISOC CLARK INTEGRATED HOTEL AND CASINO);STUDIO 4
19088;ISOC IBIS HOTEL;STUDIO 4
19144;PHILEXCEL RETAIL REDEVELOPMENT;STUDIO 4
19166;KZ SODA FOUNTAIN - ID;STUDIO 2
19198J;PROJECT ESPADA ID;STUDIO 2
19265J;PROJECT HOLLOW ID;STUDIO 7
20096;DDTKI SUNNY COAST;STUDIO 3
18138;THE MAPLE CENTER (CHALCEDONY PLACE);STUDIO 3
18188;CCPI OFFICE FIT-OUT;STUDIO 3
14119;LBL BUILDING RENOVATION;STUDIO 3
16028;PAZ MADRIGAL;STUDIO 3
17201;LIO LONG STAY HOTEL;STUDIO 3
16035;WEST END SQUARE: ID EGD LANDSCAPE SPECIAL LIGHTING FAÇADE;STUDIO 3
18103;DATA LAND OFFICE BUILDING (DDT SKY TOWER);STUDIO 3
17188;*YU RESIDENCE;STUDIO 3
15169;LATITUDE CORPORATE CENTER;STUDIO 3
13104;STILES ENTERPRISE - EXTENSION OF CONSTRUCTION;STUDIO 3
15077;THE GENTRY;STUDIO 3
13111;PARK TRIANGLE CORP PLAZA NORTH;STUDIO 3
14066;PARK TRIANGLE CORP PLAZA SOUTH;STUDIO 3
16094;PROJECT THEODORE DATA CENTER (GLOBE ROOSEVELT);STUDIO 3
18034;AUREO PHASE 4;STUDIO 3
16107;38 PARK AVENUE;STUDIO 3
17115;ONE VERTIS PLAZA;STUDIO 1
18059;SOUTHKEY HUB 2 (NORTHGATE ALABANG BPO 2);STUDIO 3
14055;HIGH PARK TOWER 2;STUDIO 3
15069;OREAN PLACE;STUDIO 3
16085;110 BENAVIDEZ CITADINES ID;STUDIO 3
14110;KEYLAND BENAVIDEZ LEGASPI;STUDIO 3
16039J;ACI GATEWAY MALL 2 - CD TO CS;STUDIO 3
19281;*GRAND WESTSIDE HOTEL - LANDSCAPE;STUDIO 3
19282;*BAYSHORE RESIDENTIAL HOTEL - LANDSCAPE;STUDIO 3
17029;DAVAO CENTRAL HOTEL;STUDIO 3
17223;PATIO SUITES TOWER 2 LITE;STUDIO 3
18123;PROJECT RUBY - DLR CIVIC & RETAIL;STUDIO 3
18060;CITADINES/LYF SALCEDO (CITADINES SALCEDO) / CITADINES LEVISTE;STUDIO 3
19080;VIBE TOWER 3;STUDIO 3
19227;CLI ABACA HOTEL;STUDIO 3
19180;NORTHGATE B45L1;STUDIO 3
18260;PARKFORD SUITES;STUDIO 3
19065;BAGUIO OFFICE BUILDING;STUDIO 3
19061;38 PARK PHASE 2 & 3;STUDIO 3
19023;DDTKI PARK MCKINLEY WEST;STUDIO 3
19068;PROJECT GENESIS  (ALP-HYUNDAI);STUDIO 3
19099;PROJECT AZUELA;STUDIO 3
14051;WEST END SQUARE;STUDIO 3
13004;MANGO TREE RESIDENCES;STUDIO 3
18232;PROJECT RUBY - BPIDLR REDEVT.;STUDIO 3
18108;OREAN TOWER 2;STUDIO 3
19109;Geo Estate Tower Roxas Blvd;STUDIO 3
1200406;GARDEN TOWER T1: VARIATION ORDER - EXTENDED CONSTRUCTION STAGE;STUDIO 4
13029;GARDEN TOWERS TOWER 2;STUDIO 4
13063;HIGH PARK TOWER 1;STUDIO 3
14012;GRAND TOWER CEBU;STUDIO 2
1401206;GRAND LAND MIXED USE DEVT - EXTENSION OF CONSTRUCTION SERVICES;STUDIO 2
14032;THE PADDINGTON PLACE;STUDIO 1
1405101;WEST END SQUARE VARIATION ORDER NO. 01;STUDIO 3
14087;SOUTHKEY PLACE;STUDIO 3
14093;UDENNA TOWER;STUDIO 3
15110;HORIZON SOUND STAGE PHASE 1;STUDIO 2
\N;AYALA NORTH EXCHANGE CITYGATE RESIDENTIAL COMMERCIAL RETAIL (AYALA NORTH EXCHANGE) FOR OFFICE/BPO-;undefined
\N;AYALA NORTH EXCHANGE CITYGATE RESIDENTIAL COMMERCIAL RETAIL (AYALA NORTH EXCHANGE)-FOR RETAIL;undefined
13107;AYALA NORTH EXCHANGE;STUDIO 3
15118;PROJECT SUPERSTAR;STUDIO 1
15040;CAGAYAN SHRIMP PROCESSING PLANT;STUDIO 1
15146;ETON CITY COMMERCIAL DEVELOPMENT;STUDIO 1
16002;BLUE WATER MARIBAGO EXPANSION;STUDIO 5
16016;SANTOR WAREHOUSE PHASE 2;STUDIO 1
16017;PROJECT CHEWEE;STUDIO 1
16019;PARK TRIANGLE RESIDENCES;STUDIO 1
16028J;PAZ MADRIGAL PLAZA - DDTKI (DD CD CS PHASE );STUDIO 3
16037;KASA LUNTIAN PHASE 2;STUDIO 6
16044;SUPERSTAR HOTEL;STUDIO 1
16045;SUPERSTAR BPO;STUDIO 1
16052;PHILAM VALERO COMMON AREAS RENOVATION;STUDIO 2
1605402;SLMC QC VARIATION ORDER NO. 02;STUDIO 5
16060;WIDUS HOTEL CASINO AND HOTEL EXPANSION;STUDIO 1
16070;PROJECT SEABREEZE PHASE 1 (ROBINSONS DUMAGUETE);STUDIO 5
16073;MANDANI BAY BLOCK 1A & 1B;STUDIO 5
1607301;MANDANI BAY QUAY VO NO.1;STUDIO 5
1607305;MANDANI BAY QUAY VO NO.5;STUDIO 5
16073A;MBQ T1 MARKETING REQUIREMENT;STUDIO 5
16073A1;MBQ TOWER 2 MARKETING REQUIREMENTS;STUDIO 5
16073A2;MBQ TOWER 4 MARKETING REQUIREMENTS;STUDIO 5
16077;PNB MANILA BAY;STUDIO 5
16097;DRUG REHAB CENTER REV-1;STUDIO 1
16109;ALG-CIT;STUDIO 1
16117;LANDMARK BGC;STUDIO 5
16124;MI CASA (PROJECT R8-R14);STUDIO 5
16124E;MI CASA INTERIOR RENDERING;STUDIO 5
16135;PROJECT AWAKENS;STUDIO 1
16148;AMIGO TERRACES;STUDIO 2
16150;ETON CITY SQUARE PHASE 2;STUDIO 1
17027;D&L INNOVATION & TECHNOLOGY CENTER;STUDIO 3
17027J;D&L INNOVATION & TECHNOLOGY CENTER -ID;STUDIO 3
17044;AUREO APARTELLE BUILDING;STUDIO 3
17056;UDENNA OFFICE INTERIORS;STUDIO 2
17090;CENTRIS WALK EXTENSION CLUSTER 4;STUDIO 1
17119;MMC CITYGATE BRIDGEWAY;STUDIO 3
17124;SLMC DAVAO;STUDIO 2
17131;EMERALD INTEGRATED RESORT;STUDIO 4
17134;CAVDEAL CATICLAN DORMITORY  D&B;STUDIO 5
17163;3-BEDROOM ACCOMMODATION - SOLAIRE A&A ID;STUDIO 2
17168;CASINO CEILING ID;STUDIO 2
17195;ONE LE GRAND TOWER;STUDIO 5
17206;BPI MSE OFFICE ID;STUDIO 2
17214;56 CENTRAL (ARCA SOUTH OFFICE BUILDING);STUDIO 5
17224;CEBU COURTYARD MARRIOTT;STUDIO 1
17230;BACOOR RECLAMATION MASTERPLAN (FRABELLE FISHING CORP);STUDIO 5
17230J;DEC BACOOR COASTAL RECLAMATION AND DEVELOPMENT PROJECT (DIAMOND EXPORT CORP);STUDIO 5
18009;WEST AEROPARK PHASE 2 CONSTRUCTION SERVICES;STUDIO 4
1800902;WAP2 EXTENSION OF CONSTRUCTION;STUDIO 4
18015;NEW CLARK CITY STADIUM;STUDIO 6
18035;THE EMERALD PROJECT BOH ID;STUDIO 4
18050;NEW CLARK CITY AQUATIC CENTER;STUDIO 6
18053;MACTAN SEAGROVE HOTEL;STUDIO 5
18075;PROJECT KAIZEN;STUDIO 1
18077;SDC TORDESILLAS OFFICE;STUDIO 5
18078;OREAN PLACE TOWER 2;STUDIO 3
18080;DAIICHI CORPORATE HQ INTERIORS;STUDIO 5
18091;JADE PACIFIC SMH;STUDIO 1
18104;DFNN OFFICE ID UDENNA SITE CLARK SITE;STUDIO 2
18124;BLUEWATER HOTEL EXPANSION;STUDIO 5
18134;SOLAIRE CLOAKROOM;STUDIO 2
18136;MANULIFE OFFICE ID;STUDIO 2
18142;PROJECT ISABEL - BPI HQ (PROJECT RUBY - DLR 1);STUDIO 6
18149;PULLMAN;STUDIO 4
18151;PROJECT GARNET;STUDIO 1
18160;SOLAIRE PRESIDENTIAL & CHAIRMAN'S SUITE;STUDIO 2
18170;CITY OF DREAMS MANILA RENOVATION;STUDIO 2
18172;NEW SENATE BUILDING (PROJECT VIZARD);STUDIO 5
1817203;NEW SENATE BUILDING - VO NO. 03;STUDIO 5
18182;ISOC SUCAT RESIDENTIAL;STUDIO 4
18182B;ISOC RESIDENCES SHOWROOM;STUDIO 4
18183;ISOC ARNAIZ OFFICE;STUDIO 4
18192;TGT REDEVELOPMENT;STUDIO 2
18204;KEYLAND LEVADO;STUDIO 2
18223;*TAJARA PANGLAO;STUDIO 5
18236;PHILEXCEL ANNEX WAREHOUSE DEVELOPMENT;STUDIO 1
18249;18 AVENUE DE TROIMPHE;STUDIO 5
18256;SOLAIRE L3 VIP WALL;STUDIO 2
18261;THE PLAZA (FLI SSR TOWER 7);STUDIO 5
18264;GOOGLE E-BLOC DUE DILIGENCE;STUDIO 2
18265;LUISITA BUILD TO SUIT OFFICE;STUDIO 1
18283;*LAMASUTA RESIDENCE;STUDIO 2
18284;*SANTOS RESIDENCE;STUDIO 2
19021;DDTKI CLARK MASTERPLAN;STUDIO 3
19027;TAGAYTAY RESIDENTIAL  RESORT;STUDIO 4
19030;SOLAIRE ARTWORK & DRAPERY;STUDIO 2
19032;VERMOSA SPORTS HUB MASTERPLAN;STUDIO 6
19035;RP ANTIPOLO MASTERPLAN;STUDIO 1
19052;MANDANI BAY MASTERPLANNING;STUDIO 5
19058;SOLAIRE BAY LEVEL 2;STUDIO 2
19075;CAGAYAN SHRIMP PROCESSING PLANT - ID;STUDIO 1
19077;W OFFICE BGC;STUDIO 3
19085;PROJECT AWAKENS BIM;STUDIO 1
19081;SOLAIRE VILLA 1 REFURBISHMENT;STUDIO 2
19084;QUASHA LAW OFFICE -ID;STUDIO 2
19101;*WACK WACK GOLF LOUNGE;STUDIO 2
19112;ARUP OFFICE FIT-OUT;STUDIO 2
16073A3;MANDANI BAY MARKETING PLANS TOWER 3;STUDIO 5
19176;917V INCUBATOR SPACE;STUDIO 2
19178;CEDARSIDE HOTEL CITADINES CONNECT;STUDIO 5
19188;TAGAYTAY RESIDENTIAL RESORT - DD TO CS - A&E;STUDIO 4
19190;G-E ROXAS BLVD RESIDENTIAL BLDG_(previously 18187);STUDIO 3
19198;PROJECT ESPADA;STUDIO 5
19199;UNIOIL OFFICE AND DORMITORY;STUDIO 4
19204;BGC WESTGATE PARKING;STUDIO 1
19215;GOOGLE VERTIS NORTH EXPANSION;STUDIO 2
19263;PHILEXCEL BPO;STUDIO 4
17014;SOUTHERN STAR;STUDIO 6
1701401;SOUTHERN STAR- VARIATION ORDER NO.01;STUDIO 6
18228;ROBINSON LUISITA RESORT HOTEL;STUDIO 1
19070;COURTYARD CEBU HOTEL;STUDIO 1
19238;SOLAIRE WATERSIDE RESTOBAR;STUDIO 2
19253;*VERGARA RESIDENCE;STUDIO 6
19160;GRAMANS BPO;STUDIO 1
19177;BPI DAVAO LANANG;STUDIO 2
19194;TANAY RESIDENTIAL RESORT;STUDIO 4
19205;BPI BUENDIA CENTER;STUDIO 2
19221;BENCH HQ;STUDIO 4
19261;PROJECT RADA;STUDIO 5
19270;GRAMANS MIXED-USE MASTERPLAN;STUDIO 1
20002;MANDANI BAY PHASE 3;STUDIO 5
19232;ARQ BEACH RESORT;STUDIO 1
19284;PROJECT SRP 2 RENDERINGS;STUDIO 5
20001;NESTLE ROCKWELL;STUDIO 2
20005;FIRST TAAL;STUDIO 6
19158;PARK TRIANGLE RETAIL PODIUM EXTERNAL LIGHTING;STUDIO 1
19260;SAMAL RESIDENTIAL MP CONCEPT;STUDIO 5
20011;BENCH DORM;STUDIO 4
20013;P&G NET LIMA;STUDIO 2
20019;ULTICON HARBOR CITY MP;STUDIO 5
19130;LANGUIDINGAN AIRPORT;STUDIO 5
19154;SEAGROVE MASTERPLANNING RENDERINGS;STUDIO 5
1920501;BPI BUENDIA CENTER V.O NO.01 - COFFEE LOUNGE;STUDIO 7
19283;(LEAD) SOLVIENTO PHASE 4 MASTERPLAN;STUDIO 1
20017;CORON SALES PAVILLION;STUDIO 4
20028;ISOC CLARK NEO MASTERPLAN;STUDIO 4
20029;MANDALA PARK DEVELOPMENT;STUDIO 4
20033;CL SALES LOUNGE (CITADINES LEVISTE SHOWROOM);STUDIO 2
20038;GARDEN TOWERS SUPPLEMENTARY SERVICES;STUDIO 4
20039;PARK TERRACES SUPPLEMENTARY SERVICE;STUDIO 4
20048;CABADBARAN SPORTS COMPLEX MP;STUDIO 1
16073A4;MANDANI BAY MARKETING PLANS;STUDIO 5
1612408;MICASA TOWER 2 & 3 REDESIGN;STUDIO 5
1713102;THE EMERALD PROJECT VARIATION ORDER NO.02;STUDIO 4
1713103;THE EMERALD PROJECT VARIATION ORDER NO.03;STUDIO 4
1812402;BLUEWATER BOARDWALK;STUDIO 5
19150;BTS LUISITA 3;STUDIO 1
19159;CHEVRON PILOT OFFIICE;STUDIO 2
19195;BLUEWATER MASTERPLAN;STUDIO 5
19200;BPI DAVAO ANNEX BLDG;STUDIO 2
20030;TRANSASIA (OKADA) MASTERPLAN;STUDIO 1
20061;BPI MSE EXTENSION;STUDIO 2
20072;HT LAND MANDANI BAY PHASE 3B;STUDIO 5
19057;NOVOTEL SUITES;STUDIO 5
19069;NOVOTEL HOTEL;STUDIO 5
19095;MC HOME DEPOT;STUDIO 5
19179;URC MASTERPLANNING;STUDIO 4
20010;CGC FOOD AND WELLNESS HUB;STUDIO 4
20022;MANDAUE MIXED USE TEST FIT;STUDIO 4
20041;MANDALUYONG CITY GYMNASIUM;STUDIO 6
20044;SOLAIRE FOOD COURT RENOVATION;STUDIO 2
20052;SHANG MAKATI TEST FIT;STUDIO 4
20078;NEC PAMPANGA MP;STUDIO 6
20079;BPI NORTH TOWER;STUDIO 6
20080;BPI SOUTH TOWER;STUDIO 6
20082;PROJECT AGE;STUDIO 4
19145;*LLENADO CLINIC;STUDIO 2
20075;AEON BLEU;STUDIO 5
20115;MANULIFE LEV 7 RE-MEASUREMENT;STUDIO 2
1507525;MANDANI BAY SUITES-2ND EXTENSION OF CONSTRUCTION;STUDIO 5
1926101;PROJECT ELURIA - VARIATION ORDER NO.01;STUDIO 5
20105;DGT SE BLOCK RESIDENCES;STUDIO 4
